decision_id,decision_time,tick_time,tick_seq,tick_source,tick_row,ticker,decision_type,cash,pos_yes,pos_no,pending_yes,pending_no,order_index,action,price,qty,source
1,2026-01-10T18:22:47.150201,2026-01-09T05:05:03.715560,1940253,market_data_KXHIGHNY-26JAN09.csv,32929,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
2,2026-01-10T18:22:47.156218,2026-01-09T05:05:03.860181,1940254,market_data_KXHIGHNY-26JAN09.csv,32930,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
3,2026-01-10T18:22:47.158729,2026-01-09T05:05:03.878131,1940255,market_data_KXHIGHNY-26JAN09.csv,32931,KXHIGHNY-26JAN09-B51.5,empty,100.0,0,0,0,0,,,,,
4,2026-01-10T18:22:47.162916,2026-01-09T05:05:03.974958,1940257,market_data_KXHIGHNY-26JAN09.csv,32933,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
5,2026-01-10T18:22:47.168536,2026-01-09T05:05:09.116541,1940259,market_data_KXHIGHNY-26JAN09.csv,32935,KXHIGHNY-26JAN09-B51.5,empty,100.0,0,0,0,0,,,,,
6,2026-01-10T18:22:47.170430,2026-01-09T05:05:11.854400,1940260,market_data_KXHIGHNY-26JAN09.csv,32936,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
7,2026-01-10T18:22:47.172938,2026-01-09T05:05:12.262458,1940261,market_data_KXHIGHNY-26JAN09.csv,32937,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
8,2026-01-10T18:22:47.174491,2026-01-09T05:05:12.268188,1940262,market_data_KXHIGHNY-26JAN09.csv,32938,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
9,2026-01-10T18:22:47.177010,2026-01-09T05:05:17.992542,1940263,market_data_KXHIGHNY-26JAN09.csv,32939,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
10,2026-01-10T18:22:47.179516,2026-01-09T05:05:17.992947,1940264,market_data_KXHIGHNY-26JAN09.csv,32940,KXHIGHNY-26JAN09-B51.5,empty,100.0,0,0,0,0,,,,,
11,2026-01-10T18:22:47.187024,2026-01-09T05:05:20.417396,1940267,market_data_KXHIGHNY-26JAN09.csv,32943,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
12,2026-01-10T18:22:47.189023,2026-01-09T05:05:20.630175,1940268,market_data_KXHIGHNY-26JAN09.csv,32944,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
13,2026-01-10T18:22:47.191590,2026-01-09T05:05:21.368145,1940269,market_data_KXHIGHNY-26JAN09.csv,32945,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
